;Score;Kills;Deaths;K/D;Damage;Headshots;Dominations;Shots Fired;Shots Hit;Shots Accuracy;Snipers Killed;Domination Overkills;Domination Revenges;Bombs Planted;Bombs Defused;Money Earned;Hostages Rescued;MVP;Wins;Ties;Matches Played;Losses;Rounds Played;Rounds Won;Win %;Headshot %
32;87236.0;42127.0;29748.0;1.42;5320172.0;22318.0;465.0;521319.0;119358.0;22.9;2152.0;1163.0;72.0;1484.0;460.0;104517802.0;1337.0;4441.0;896.0;232.0;1741.0;845.0;26352.0;896.0;51.5;53.0
33;438557.0;220171.0;168843.0;1.3;4947042.0;73444.0;721.0;2367531.0;515227.0;21.8;10876.0;1420.0;81.0;6862.0;1595.0;92512145.0;501.0;13984.0;2275.0;231.0;4166.0;1891.0;135176.0;2275.0;54.6;33.4
34;135103.0;57012.0;30588.0;1.86;9984306.0;35746.0;295.0;745595.0;387912.0;52.0;3785.0;319.0;91.0;1340.0;486.0;133406974.0;100.0;67720.0;3238.0;220.0;4338.0;1100.0;34310.0;3238.0;74.6;62.7
35;104913.0;206077.0;166968.0;1.23;9924339.0;92310.0;451.0;3115289.0;648107.0;20.8;8638.0;585.0;333.0;3955.0;1599.0;183722068.0;2.0;16914.0;2530.0;190.0;4477.0;1947.0;143674.0;2530.0;56.5;44.8
36;259821.0;2371607.0;121563.0;19.51;6562036.0;157721.0;89.0;150008359.0;3587316.0;2.4;4917.0;149.0;29.0;137673.0;89778.0;695703174.0;3452.0;57297.0;14599.0;188.0;25289.0;10690.0;16834.0;14599.0;57.7;6.7
37;19346.0;1103534.0;929826.0;1.19;1703379.0;980170.0;36.0;85600.0;47903.0;56.0;297.0;107.0;100.0;2752.0;3810.0;60493650.0;504.0;1414.0;7356.0;167.0;5844.0;-1512.0;18566.0;7356.0;125.9;88.8
38;24247.0;11485.0;7584.0;1.51;1618002.0;4885.0;32.0;118757.0;26557.0;22.4;2099.0;25.0;62.0;860.0;319.0;24747150.0;1.0;1717.0;1494.0;150.0;2110.0;616.0;8187.0;1494.0;70.8;42.5
39;212176.0;94504.0;102421.0;0.92;13363598.0;51901.0;717.0;25090244.0;290935.0;1.2;3514.0;788.0;412.0;2109.0;538.0;237021909.0;519.0;7753.0;1755.0;147.0;4814.0;3059.0;5053719.0;1755.0;36.5;54.9
40;38648.0;26984.0;15821.0;1.71;26725374.0;10192.0;35.0;221659121.0;330925.0;0.1;737.0;124.0;45.0;6059.0;1394.0;68420050.0;500.0;1468.0;195.0;142.0;2909.0;2714.0;90609.0;195.0;6.7;37.8
41;85035.0;21303.0;16412.0;1.3;2780645.0;8288.0;342.0;284390.0;147411.0;51.8;1702.0;380.0;71.0;3809.0;3117.0;109594100.0;5393.0;2108.0;469.0;128.0;1160.0;691.0;15168.0;469.0;40.4;38.9
42;26897.0;22056.0;15999.0;1.38;1855834.0;8951.0;145.0;98255.0;22303.0;22.7;588.0;254.0;57.0;552.0;339.0;660923650.0;500.0;1470.0;503.0;124.0;859.0;356.0;4085.0;503.0;58.6;40.6
43;213347.0;76911.0;59579.0;1.29;10261994.0;33152.0;422.0;886977.0;202818.0;22.9;3884.0;480.0;194.0;2726.0;1431.0;157152898.0;514.0;7981.0;1653.0;122.0;3409.0;1756.0;58642.0;1653.0;48.5;43.1
